notes,Cleaned_Column
"2022-06-01 00:32:08 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:86373"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 00:22:33 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 003208  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat86373 target_blankorion alert detailsacode

20220601 002233  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 00:27:08 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85202"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 00:22:33 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 002708  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85202 target_blankorion alert detailsacode

20220601 002233  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 00:53:18 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 005318  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 01:56:44 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 01:12:14 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 015644  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat92564 target_blankorion alert detailsacode

20220601 011214  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 02:44:40 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95197"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 02:23:58 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 024440  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat95197 target_blankorion alert detailsacode

20220601 022358  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 02:37:41 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 023741  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 02:43:36 - Sugandhipriya Rangaswamy (Work notes)
Out of scope for Service Desk. Hence assigning it to the concerned team.

","20220601 024336  sugandhipriya rangaswamy work notes
out of scope for service desk hence assigning it to the concerned team

"
"2022-06-01 03:26:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 03:18:22 - Sujan Kumar (Work notes)
Mail sent to Advantix

","20220601 032651  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat92564 target_blankorion alert detailsacode

20220601 031822  sujan kumar work notes
mail sent to advantix

"
"2022-06-01 04:12:54 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564"" target=""_blank"">Orion Alert Details</a>[/code]

","20220601 041254  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat92564 target_blankorion alert detailsacode

"
"2022-06-01 04:07:03 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 040703  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 06:16:50 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:70879"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 06:12:01 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-01 04:26:47 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:70879"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 04:22:57 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 061650  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat70879 target_blankorion alert detailsacode

20220601 061201  solarwinds integration work notes
orion alert has been reactivated

20220601 042647  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat70879 target_blankorion alert detailsacode

20220601 042257  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 07:21:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:83040"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 07:17:02 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-01 04:41:48 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:83040"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 04:37:23 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 072151  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat83040 target_blankorion alert detailsacode

20220601 071702  solarwinds integration work notes
orion alert has been reactivated

20220601 044148  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat83040 target_blankorion alert detailsacode

20220601 043723  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 05:30:13 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:87943"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:21:01 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 053013  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat87943 target_blankorion alert detailsacode

20220601 052101  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
