Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 ,Y,29-09-2022,Incident,hardware issue  laptop  bitlocker key  none
AM,,India,Deskside,Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 ,Y,16-11-2022,Incident,managed security services reproted a security i
AP,M365,Hong Kong,Deskside,Microsoft Teams - update MS Teams dial in number to English version,Y,23-11-2022,Incident,microsoft teams  update ms teams dial in numbe
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key,Y,05-10-2022,Incident,           hardware issue  laptop  bitlocker key
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,21-09-2022,Incident,        reported issue  hardware  laptop_desktop
AP,,Sri Lanka,Deskside,Application Issues,Y,27-09-2022,Incident,                                application issues
AP,,Sri Lanka,Deskside,Application Configuration,Y,27-09-2022,Incident,                         application configuration
AM,Laptop,India,Deskside,Hardware Issue - Laptop,Y,05-10-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,07-11-2022,Incident,               hardware issue  laptop performance
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery,Y,07-11-2022,Incident,                   hardware issue  laptop battery
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station(does not supply full power),Y,03-02-2023,Incident,hardware issue  docking stationdoes not suppl
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,03-02-2023,Incident,                           hardware issue  laptop
AM,Windows / OS,United States,Deskside,Windows 10 - Issues ,Y,08-09-2022,Incident,                              windows 10  issues 
AM,,India,Deskside,Encryption missing on the attached systems,Y,22-09-2022,Incident,        encryption missing on the attached systems
AM,M365,United States,Deskside,Azuresynapce - Microsoft Integration Runtime,Y,22-09-2022,Incident,      azuresynapce  microsoft integration runtime
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting
EMEA,Laptop,Spain,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,16-01-2023,Incident,        reported issue  hardware  laptop_desktop
EMEA,,Slovakia,Deskside,Reported Issue - Application - OneDrive,Y,16-02-2023,Incident,           reported issue  application  onedrive
